Activity,Timestamp,Value
Weight recorded,12/8 6:49 pm,15.2 lbs
Weight recorded,12/8 6:24 pm,9.3 lbs
Weight recorded,12/8 6:12 pm,15.3 lbs
Weight recorded,12/8 4:36 pm,13.4 lbs
Weight recorded,12/8 1:51 pm,9.3 lbs
Weight recorded,12/8 9:33 am,13.4 lbs
Weight recorded,12/8 9:21 am,9.2 lbs
Weight recorded,12/8 8:58 am,13.6 lbs
Weight recorded,12/8 7:19 am,15.0 lbs
Weight recorded,12/8 5:36 am,15.2 lbs
Weight recorded,12/7 8:42 pm,9.3 lbs
Weight recorded,12/7 7:02 pm,13.6 lbs
Weight recorded,12/7 5:59 pm,15.3 lbs
Weight recorded,12/7 5:46 pm,15.3 lbs
Weight recorded,12/7 3:05 pm,9.3 lbs
Weight recorded,12/7 2:42 pm,13.3 lbs
Weight recorded,12/7 9:52 am,9.1 lbs
Weight recorded,12/7 9:15 am,13.2 lbs
Weight recorded,12/7 9:03 am,12.1 lbs
Weight recorded,12/7 8:15 am,14.7 lbs
Weight recorded,12/7 8:13 am,13.8 lbs
Weight recorded,12/7 8:12 am,14.8 lbs
Weight recorded,12/6 10:23 pm,9.1 lbs
Weight recorded,12/6 5:43 pm,13.0 lbs
Weight recorded,12/6 5:23 pm,14.7 lbs
Weight recorded,12/6 4:54 pm,15.0 lbs
Weight recorded,12/6 4:46 pm,13.9 lbs
Weight recorded,12/6 4:26 pm,13.4 lbs
Weight recorded,12/6 4:23 pm,9.0 lbs
Weight recorded,12/6 9:12 am,9.0 lbs
Weight recorded,12/6 8:49 am,13.2 lbs
Weight recorded,12/6 8:40 am,14.7 lbs
Weight recorded,12/5 11:37 pm,15.1 lbs
Weight recorded,12/5 11:03 pm,9.0 lbs
Weight recorded,12/5 8:04 pm,13.3 lbs
Weight recorded,12/5 7:07 pm,13.3 lbs
Weight recorded,12/5 6:22 pm,9.2 lbs
Weight recorded,12/5 5:55 pm,14.8 lbs
Weight recorded,12/5 9:06 am,15.0 lbs
Weight recorded,12/5 8:22 am,15.0 lbs
Weight recorded,12/5 8:10 am,13.4 lbs
Weight recorded,12/5 7:54 am,9.3 lbs
Weight recorded,12/4 6:42 pm,13.6 lbs
Weight recorded,12/4 6:17 pm,9.2 lbs
Weight recorded,12/4 5:46 pm,15.2 lbs
Weight recorded,12/4 5:42 pm,13.6 lbs
Weight recorded,12/4 5:30 pm,15.1 lbs
Weight recorded,12/4 8:49 am,9.3 lbs
Weight recorded,12/4 8:10 am,13.3 lbs
Weight recorded,12/4 7:45 am,15.1 lbs
Weight recorded,12/3 9:57 pm,13.3 lbs
Weight recorded,12/3 6:50 pm,9.5 lbs
Weight recorded,12/3 5:26 pm,13.4 lbs
Weight recorded,12/3 4:47 pm,15.1 lbs
Weight recorded,12/3 12:15 pm,9.5 lbs
Weight recorded,12/3 9:05 am,15.2 lbs
Weight recorded,12/3 9:02 am,6.0 lbs
Weight recorded,12/3 8:41 am,13.3 lbs
Weight recorded,12/3 8:34 am,9.3 lbs
Weight recorded,12/3 8:19 am,13.6 lbs
Weight recorded,12/3 8:12 am,15.3 lbs
Weight recorded,12/2 8:25 pm,9.3 lbs
Weight recorded,12/2 6:19 pm,15.3 lbs
Weight recorded,12/2 10:15 am,9.3 lbs
Weight recorded,12/2 8:59 am,13.9 lbs
Weight recorded,12/2 8:52 am,13.1 lbs
Weight recorded,12/2 8:36 am,13.4 lbs
Weight recorded,12/2 8:29 am,12.4 lbs
Weight recorded,12/2 8:13 am,15.1 lbs
Weight recorded,12/2 12:11 am,14.4 lbs
Weight recorded,12/2 12:10 am,15.2 lbs
Weight recorded,12/1 11:26 pm,9.1 lbs
Weight recorded,12/1 10:58 pm,9.0 lbs
Weight recorded,12/1 6:20 pm,9.2 lbs
Weight recorded,12/1 5:57 pm,15.1 lbs
Weight recorded,12/1 5:39 pm,7.4 lbs
Weight recorded,12/1 5:38 pm,13.3 lbs
Weight recorded,12/1 5:31 pm,15.1 lbs
Weight recorded,12/1 10:09 am,9.2 lbs
Weight recorded,12/1 7:54 am,13.4 lbs
Weight recorded,12/1 7:41 am,13.4 lbs
Weight recorded,12/1 7:38 am,15.1 lbs
Weight recorded,12/1 7:33 am,13.4 lbs
Weight recorded,11/30 10:39 pm,9.2 lbs
Weight recorded,11/30 7:04 pm,15.4 lbs
Weight recorded,11/30 6:48 pm,13.5 lbs
Weight recorded,11/30 5:43 pm,15.2 lbs
Weight recorded,11/30 5:36 pm,9.2 lbs
Weight recorded,11/30 10:38 am,9.6 lbs
Weight recorded,11/30 9:33 am,9.3 lbs
Weight recorded,11/30 9:10 am,13.3 lbs
Weight recorded,11/30 8:46 am,15.2 lbs
Weight recorded,11/29 8:31 pm,9.4 lbs
Weight recorded,11/29 8:16 pm,15.5 lbs
Weight recorded,11/29 8:10 pm,13.8 lbs
Weight recorded,11/29 8:06 pm,15.5 lbs
Weight recorded,11/29 7:02 pm,9.3 lbs
Weight recorded,11/29 3:40 pm,13.6 lbs
Weight recorded,11/29 9:23 am,9.3 lbs
Weight recorded,11/29 8:36 am,15.3 lbs
Weight recorded,11/29 7:39 am,15.3 lbs
Weight recorded,11/29 7:35 am,13.6 lbs
Weight recorded,11/28 11:39 pm,15.5 lbs
Weight recorded,11/28 7:23 pm,9.5 lbs
Weight recorded,11/28 7:10 pm,9.5 lbs
Weight recorded,11/28 6:41 pm,13.8 lbs
Weight recorded,11/28 6:03 pm,15.2 lbs
Weight recorded,11/28 5:38 pm,13.8 lbs
Weight recorded,11/28 5:29 pm,15.5 lbs
Weight recorded,11/28 5:27 pm,15.3 lbs
Weight recorded,11/28 9:43 am,9.2 lbs
Weight recorded,11/28 9:31 am,14.8 lbs
Weight recorded,11/28 8:28 am,13.2 lbs
Weight recorded,11/27 11:01 pm,13.0 lbs
Weight recorded,11/27 10:59 pm,14.9 lbs
Weight recorded,11/27 10:57 pm,15.0 lbs
Weight recorded,11/27 10:47 pm,13.1 lbs
Weight recorded,11/27 10:30 pm,12.0 lbs
Weight recorded,11/27 5:33 pm,12.2 lbs
Weight recorded,11/27 5:32 pm,13.1 lbs
Weight recorded,11/27 12:51 pm,9.2 lbs
Weight recorded,11/27 9:44 am,9.2 lbs
Weight recorded,11/27 8:24 am,13.1 lbs
Weight recorded,11/27 8:14 am,14.4 lbs
Weight recorded,11/27 8:06 am,12.8 lbs
Weight recorded,11/27 7:58 am,14.9 lbs
Weight recorded,11/26 11:30 pm,15.1 lbs
Weight recorded,11/26 9:13 pm,13.4 lbs
Weight recorded,11/26 8:09 pm,9.1 lbs
Weight recorded,11/26 12:45 pm,13.5 lbs
Weight recorded,11/26 11:12 am,9.2 lbs
Weight recorded,11/26 9:43 am,9.2 lbs
Weight recorded,11/26 9:16 am,15.1 lbs
Weight recorded,11/26 8:31 am,13.3 lbs
Weight recorded,11/26 7:55 am,13.3 lbs
Weight recorded,11/26 7:52 am,15.1 lbs
Weight recorded,11/26 12:08 am,13.4 lbs
Weight recorded,11/25 11:52 pm,14.2 lbs
Weight recorded,11/25 11:51 pm,15.0 lbs
Weight recorded,11/25 11:02 pm,9.2 lbs
Weight recorded,11/25 9:39 pm,15.2 lbs
Weight recorded,11/25 7:05 pm,9.4 lbs
Weight recorded,11/25 5:56 pm,15.2 lbs
Weight recorded,11/25 5:17 pm,13.4 lbs
